Roll Number,Name,Date,Calculus, PDT,  DBMS,  Python,   Econometrics
232204,Walter H. White,01-06-2023,1,1,1,1,1
232204,Walter H. White,02-06-2023,1,1,1,1,1
232204,Walter H. White,03-06-2023,1,1,1,1,1
232204,Walter H. White,04-06-2023,1,1,1,1,1
232204,Walter H. White,05-06-2023,1,1,1,0,1
232204,Walter H. White,06-06-2023,1,1,1,1,1
232204,Walter H. White,07-06-2023,1,1,1,1,1
232204,Walter H. White,08-06-2023,1,1,1,1,1
232204,Walter H. White,09-06-2023,1,1,1,1,1
232204,Walter H. White,10-06-2023,1,1,1,1,1
232204,Walter H. White,11-06-2023,1,1,1,1,1
232204,Walter H. White,12-06-2023,1,1,1,1,1
232204,Walter H. White,13-06-2023,1,1,1,1,1
232204,Walter H. White,14-06-2023,1,1,1,1,1
232204,Walter H. White,15-06-2023,1,1,1,1,1
232204,Walter H. White,16-06-2023,1,1,1,1,1
232204,Walter H. White,17-06-2023,1,1,1,1,1
232204,Walter H. White,18-06-2023,1,1,1,1,1
232204,Walter H. White,19-06-2023,1,1,1,1,1
232204,Walter H. White,20-06-2023,1,1,1,1,1
232204,Walter H. White,21-06-2023,1,1,1,1,1
232204,Walter H. White,22-06-2023,1,1,1,1,1
232204,Walter H. White,23-06-2023,1,1,1,1,1
232204,Walter H. White,24-06-2023,1,1,1,1,1
232204,Walter H. White,25-06-2023,1,1,1,1,1
232204,Walter H. White,26-06-2023,1,1,1,1,1
232204,Walter H. White,27-06-2023,1,1,1,1,1
232204,Walter H. White,28-06-2023,1,1,1,1,1
232204,Walter H. White,29-06-2023,1,1,1,1,1
232204,Walter H. White,30-06-2023,1,1,1,1,0
