Roll Number,Name,Date,Calculus, PDT,  DBMS,  Python,   Econometrics
232206,Jesse Pinkman,01-06-2023,1,1,1,1,1
232206,Jesse Pinkman,02-06-2023,1,1,1,1,1
232206,Jesse Pinkman,03-06-2023,1,1,1,1,1
232206,Jesse Pinkman,04-06-2023,0,1,0,0,1
232206,Jesse Pinkman,05-06-2023,1,1,1,1,1
232206,Jesse Pinkman,06-06-2023,1,1,0,1,0
232206,Jesse Pinkman,07-06-2023,1,1,1,1,1
232206,Jesse Pinkman,08-06-2023,1,1,1,1,1
232206,Jesse Pinkman,09-06-2023,1,1,0,1,0
232206,Jesse Pinkman,10-06-2023,1,1,1,1,1
232206,Jesse Pinkman,11-06-2023,1,1,1,1,1
232206,Jesse Pinkman,12-06-2023,1,0,0,1,1
232206,Jesse Pinkman,13-06-2023,1,1,1,1,1
232206,Jesse Pinkman,14-06-2023,1,1,1,1,1
232206,Jesse Pinkman,15-06-2023,1,0,1,1,1
232206,Jesse Pinkman,16-06-2023,0,0,1,1,1
232206,Jesse Pinkman,17-06-2023,1,1,1,1,1
232206,Jesse Pinkman,18-06-2023,1,1,1,1,1
232206,Jesse Pinkman,19-06-2023,0,1,1,1,1
232206,Jesse Pinkman,20-06-2023,1,1,1,1,1
232206,Jesse Pinkman,21-06-2023,1,1,1,1,1
232206,Jesse Pinkman,22-06-2023,0,1,1,1,1
232206,Jesse Pinkman,23-06-2023,0,1,1,1,0
232206,Jesse Pinkman,24-06-2023,1,1,1,0,1
232206,Jesse Pinkman,25-06-2023,1,1,1,1,0
232206,Jesse Pinkman,26-06-2023,1,0,1,1,1
232206,Jesse Pinkman,27-06-2023,1,0,1,0,1
232206,Jesse Pinkman,28-06-2023,1,1,1,1,1
232206,Jesse Pinkman,29-06-2023,1,1,1,0,0
232206,Jesse Pinkman,30-06-2023,1,1,1,1,1
